Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744107563,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744107564,10,POST,/create_order,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,28,0,200.0,275.41907917839126,140.55627399648074,444.17945100576617,70.0
1744107564,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,28,0,200.0,275.41907917839126,140.55627399648074,444.17945100576617,70.0
1744107565,20,POST,/create_order,0.000000,0.000000,380,540,590,630,710,730,750,750,750,750,750,75,0,320.0,362.0913757861126,140.55627399648074,754.3478409934323,70.0
1744107565,20,,Aggregated,0.000000,0.000000,380,540,590,630,710,730,750,750,750,750,750,75,0,320.0,362.0913757861126,140.55627399648074,754.3478409934323,70.0
1744107566,30,POST,/create_order,0.000000,0.000000,460,570,590,630,730,850,880,920,920,920,920,110,0,430.0,425.01845257211244,140.55627399648074,921.7817689932417,70.0
1744107566,30,,Aggregated,0.000000,0.000000,460,570,590,630,730,850,880,920,920,920,920,110,0,430.0,425.01845257211244,140.55627399648074,921.7817689932417,70.0
1744107567,40,POST,/create_order,27.000000,0.000000,590,730,760,770,880,930,1000,1000,1100,1100,1100,154,0,530.0,533.7415679022307,140.55627399648074,1091.1851670098258,70.0
1744107567,40,,Aggregated,27.000000,0.000000,590,730,760,770,880,930,1000,1000,1100,1100,1100,154,0,530.0,533.7415679022307,140.55627399648074,1091.1851670098258,70.0
1744107568,50,POST,/create_order,36.666667,0.000000,730,810,880,920,1100,1200,1200,1200,1200,1200,1200,194,0,660.0,631.8922522008994,140.55627399648074,1249.208143010037,70.0
1744107568,50,,Aggregated,36.666667,0.000000,730,810,880,920,1100,1200,1200,1200,1200,1200,1200,194,0,660.0,631.8922522008994,140.55627399648074,1249.208143010037,70.0
1744107569,60,POST,/create_order,38.500000,0.000000,770,920,1000,1200,1200,1400,1900,1900,1900,1900,1900,233,0,750.0,754.2011886778889,140.55627399648074,1936.313315993175,70.0
1744107569,60,,Aggregated,38.500000,0.000000,770,920,1000,1200,1200,1400,1900,1900,1900,1900,1900,233,0,750.0,754.2011886778889,140.55627399648074,1936.313315993175,70.0
1744107570,70,POST,/create_order,38.500000,0.000000,850,1000,1200,1200,1300,1400,1900,1900,1900,1900,1900,262,0,770.0,801.4195507594126,140.55627399648074,1936.313315993175,70.0
1744107570,70,,Aggregated,38.500000,0.000000,850,1000,1200,1200,1300,1400,1900,1900,1900,1900,1900,262,0,770.0,801.4195507594126,140.55627399648074,1936.313315993175,70.0
1744107571,80,POST,/create_order,38.400000,0.000000,920,1200,1200,1300,1400,1900,2200,2300,2300,2300,2300,304,0,880.0,909.1549539470132,140.55627399648074,2259.206375994836,70.0
1744107571,80,,Aggregated,38.400000,0.000000,920,1200,1200,1300,1400,1900,2200,2300,2300,2300,2300,304,0,880.0,909.1549539470132,140.55627399648074,2259.206375994836,70.0
1744107572,90,POST,/create_order,37.428571,0.000000,1000,1200,1400,1400,1900,2200,2300,2500,2600,2600,2600,337,0,940.0,1006.5400947206354,140.55627399648074,2605.0220250035636,70.0
1744107572,90,,Aggregated,37.428571,0.000000,1000,1200,1400,1400,1900,2200,2300,2500,2600,2600,2600,337,0,940.0,1006.5400947206354,140.55627399648074,2605.0220250035636,70.0
1744107573,100,POST,/create_order,37.428571,0.000000,1200,1400,1700,1900,2100,2300,2500,2500,2600,2600,2600,388,0,1100.0,1144.1144899763458,140.55627399648074,2605.0220250035636,70.0
1744107573,100,,Aggregated,37.428571,0.000000,1200,1400,1700,1900,2100,2300,2500,2500,2600,2600,2600,388,0,1100.0,1144.1144899763458,140.55627399648074,2605.0220250035636,70.0
1744107574,100,POST,/create_order,37.333333,0.000000,1400,1700,1900,1900,2200,2400,2700,2800,2900,2900,2900,430,0,1200.0,1233.6577758856313,140.55627399648074,2900.0433170003816,70.0
1744107574,100,,Aggregated,37.333333,0.000000,1400,1700,1900,1900,2200,2400,2700,2800,2900,2900,2900,430,0,1200.0,1233.6577758856313,140.55627399648074,2900.0433170003816,70.0
1744107575,100,POST,/create_order,37.333333,0.000000,1600,1900,2000,2100,2300,2500,2800,2900,3100,3100,3100,470,0,1200.0,1307.9181834272645,140.55627399648074,3136.5829820133513,70.0
1744107575,100,,Aggregated,37.333333,0.000000,1600,1900,2000,2100,2300,2500,2800,2900,3100,3100,3100,470,0,1200.0,1307.9181834272645,140.55627399648074,3136.5829820133513,70.0
1744107576,100,POST,/create_order,38.800000,0.000000,1800,2000,2100,2200,2400,2800,3200,3200,3300,3300,3300,511,0,1400.0,1402.5857232344679,140.55627399648074,3283.2151409966173,70.0
1744107576,100,,Aggregated,38.800000,0.000000,1800,2000,2100,2200,2400,2800,3200,3200,3300,3300,3300,511,0,1400.0,1402.5857232344679,140.55627399648074,3283.2151409966173,70.0
1744107577,100,POST,/create_order,39.700000,0.000000,2000,2100,2300,2400,2600,2800,3200,3200,3300,3300,3300,557,0,1400.0,1485.9464112061812,140.55627399648074,3283.2151409966173,70.0
1744107577,100,,Aggregated,39.700000,0.000000,2000,2100,2300,2400,2600,2800,3200,3200,3300,3300,3300,557,0,1400.0,1485.9464112061812,140.55627399648074,3283.2151409966173,70.0
1744107578,100,POST,/create_order,39.700000,0.000000,2100,2300,2400,2400,2600,2900,3200,3200,3300,3300,3300,589,0,1600.0,1536.3347515701898,140.55627399648074,3283.2151409966173,70.0
