Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,4944,0,2400.0,2333.4685689910348,146.17837501282338,3662.4481140024727,70.0,40.74852084833354,0.0,2400,2500,2600,2700,2800,3000,3200,3300,3600,3700,3700
,Aggregated,4944,0,2400.0,2333.4685689910348,146.17837501282338,3662.4481140024727,70.0,40.74852084833354,0.0,2400,2500,2600,2700,2800,3000,3200,3300,3600,3700,3700
