Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,5016,0,4900.0,4486.365414863004,146.72049097134732,6151.1111540021375,70.0,40.329240052520376,0.0,4900,5000,5100,5200,5300,5400,5600,5600,5900,6200,6200
,Aggregated,5016,0,4900.0,4486.365414863004,146.72049097134732,6151.1111540021375,70.0,40.329240052520376,0.0,4900,5000,5100,5200,5300,5400,5600,5600,5900,6200,6200
