Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,5165,0,9700.0,8062.928218260099,146.46906801499426,12597.200397023698,70.0,40.20818667241085,0.0,9700,9900,10000,10000,10000,10000,11000,11000,12000,13000,13000
,Aggregated,5165,0,9700.0,8062.928218260099,146.46906801499426,12597.200397023698,70.0,40.20818667241085,0.0,9700,9900,10000,10000,10000,10000,11000,11000,12000,13000,13000
