Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,4880,0,2400.0,2365.4897766310064,138.73028500529472,3776.95418499934,70.0,40.760157266767486,0.0,2400,2600,2600,2700,2800,3000,3100,3300,3600,3800,3800
,Aggregated,4880,0,2400.0,2365.4897766310064,138.73028500529472,3776.95418499934,70.0,40.760157266767486,0.0,2400,2600,2600,2700,2800,3000,3100,3300,3600,3800,3800
